price,space,room,bedroom,furniture,latitude,longitude,city_area,floor,max_floor,apartment_type,renovation_type,balcony
46100,35,1,1,0,41.68724966,44.8839518,Samgori District,4,12,construction,white frame,1
220800,66,2,1,1,41.7266037,44.729069,Saburtalo District,5,10,new,newly renovated,1
115300,43,2,1,1,41.6887569,44.8909178,Samgori District,2,9,new,newly renovated,1
263600,80,4,4,1,41.79720443,44.76749671,Saburtalo District,1,1,new,newly renovated,0
138400,75,3,2,0,41.7335333,44.798583,Nadzaladevi District,1,8,old,old renovation,1
158200,120,4,3,0,41.6883908,44.88360556,Samgori District,4,12,Constructor,white frame,1
97700,38.89,2,1,1,41.7903068,44.7593516,Saburtalo District,6,10,new,newly renovated,0
65900,50,2,1,0,41.68686508,44.88378014,Samgori District,4,12,construction,white frame,1
176000,67,3,2,1,41.7903068,44.7593516,Saburtalo District,6,10,new,newly renovated,1
176300,88,3,2,0,41.7245209,44.7537885,Saburtalo District,3,4,new,white frame,1
288300,110,3,2,0,41.7260891,44.7744363,Saburtalo District,3,14,new,newly renovated,0
85700,65,2,1,0,41.6883908,44.88360556,Samgori District,4,12,construction,white frame,1
240500,70,3,2,0,41.7224121,44.7720785,Saburtalo District,9,11,new,newly renovated,0
131800,74,3,2,0,41.69060443,44.86436604,Isani District,3,9,old,old renovation,1
214200,54,3,2,1,41.73188365,44.8368763,Other,3,7,new,newly renovated,1
378900,110,3,2,1,41.727041,44.7502019,Saburtalo District,5,12,new,newly renovated,0
362500,98,4,3,0,41.7206103,44.7106871,Saburtalo District,9,13,new,newly renovated,1
346000,80,3,2,1,41.7103615,44.7284963,Vake District,10,13,new,newly renovated,0
188500,105,3,2,0,41.7954972,44.8190233,Gldani District,9,19,new,green frame,1
258700,106.8,3,2,0.5,41.6866598,44.8379845,Isani District,6,17,new,white frame,0
326100,138.4,3,2,0,41.6864362,44.82367,Isani District,5,17,new,white frame,0
258700,106.8,3,2,0,41.6864362,44.82367,Isani District,3,17,new,white frame,0
389800,164.3,4,3,0,41.6864362,44.82367,Isani District,6,17,new,white frame,0
346000,106.8,4,3,1,41.6864362,44.82367,Isani District,8,21,new,newly renovated,0
97200,52,3,2,0,41.6860511,44.8779507,Samgori District,9,9,old,old renovation,1
492900,209.2,5,0,0,41.6866598,44.8379845,Isani District,12,17,new,white frame,0
266200,113,3,3,0,41.6864362,44.82367,Isani District,4,17,new,white frame,0
171300,58,2,1,1,41.7641407,44.7776143,Didube District,3,12,new,newly renovated,0
164800,30,1,1,0,41.7172959,44.7752025,Saburtalo District,5,8,old,newly renovated,0
339400,130.14,4,3,0,41.7314132,44.7782974,Didube District,9,11,new,newly renovated,1
125200,63,2,1,0,41.7874621,44.749969,Saburtalo District,4,5,new,newly renovated,1
77400,25,1,1,1,41.6728267,44.8838567,Samgori District,4,4,old,old renovation,1
100500,44,2,1,0,41.7034618,44.8498781,Isani District,2,15,new,under renovation,1
126900,38,1,1,0,41.743993,44.77232657,Didube District,2,8,old,newly renovated,0
237200,64,3,2,1,41.725092,44.7739729,Saburtalo District,12,18,new,newly renovated,1
201000,72,3,2,0,41.7903068,44.7593516,Saburtalo District,11,15,new,newly renovated,1
593100,151,3,2,1,41.725054,44.7545015,Saburtalo District,20,21,new,newly renovated,1
98900,40,2,1,1,41.6988174,44.8818285,Samgori District,3,5,old,newly renovated,1
93900,42,2,1,0,41.73188365,44.8368763,Other,2,3,old,newly renovated,1
131500,61.4,2,1,0,41.6828831,44.8238154,Krtsanisi District,11,15,new,black frame,1
191400,74,3,2,0,41.6828831,44.8238154,Krtsanisi District,12,15,new,newly renovated,1
97200,47,1,1,0,41.7954972,44.8190233,Gldani District,5,16,old,newly renovated,0
181200,76,3,2,1,41.7918749,44.7553665,Saburtalo District,10,10,new,newly renovated,1
94900,56,2,1,0,41.7903068,44.7593516,Saburtalo District,15,16,new,black frame,1
296600,65,2,1,0,41.7081011,44.7696196,Vake District,4,5,old,newly renovated,1
250400,92,3,2,1,41.7206103,44.7106871,Saburtalo District,5,5,new,newly renovated,1
220800,65,3,2,0,41.73188365,44.8368763,Other,12,12,old,newly renovated,1
154900,55,2,1,1,41.7206103,44.7106871,Saburtalo District,9,13,new,newly renovated,1
120300,51,2,1,0,41.7058381,44.8528927,Isani District,12,14,new,newly renovated,1
296600,104,3,2,1,41.7081011,44.7696196,Vake District,6,6,old,old renovation,0
181200,57,2,1,1,41.6964053,44.7938526,Mtatsminda District,2,3,old,newly renovated,0
224100,85,3,2,1,41.6890885,44.836671,Isani District,2,5,old,newly renovated,1
197700,67,3,2,0,41.7224121,44.7720785,Saburtalo District,5,18,new,white frame,1
